image,score
24429.jpg,3.934877956981864
55406.jpg,3.6705875156578553
82427.jpg,3.407951548361359
167714.jpg,4.320599453016466
47517.jpg,3.23393361031688
135510.jpg,5.120425526128653
142583.jpg,3.619307431812496
36425.jpg,4.063873622824723
161367.jpg,3.700378079831603
60061.jpg,3.252047424870096
102654.jpg,3.5597442919284763
149731.jpg,3.7141176572147456
129001.jpg,3.9560390106438086
91442.jpg,3.3321613872752307
42138.jpg,7.382614958562279
42458.jpg,4.603308791936261
19271.jpg,3.150685131447013
14847.jpg,3.0492706257557263
130578.jpg,3.7239952520762447
61090.jpg,3.299599173116848
46099.jpg,9.896196604501766
187034.jpg,3.770068850033481
23445.jpg,3.2701732770906475
75458.jpg,3.697705132313444
264854.jpg,3.637301733271424
35664.jpg,3.9993146923064313
147234.jpg,3.137973112436999
93673.jpg,4.335831629408116
20866.jpg,3.2160643358788565
85754.jpg,3.267514063271058
106128.jpg,3.1026241970626027
106277.jpg,9.855303030508196
103306.jpg,3.8351530332869608
90610.jpg,3.708441358793027
39633.jpg,3.344228700792776
220998.jpg,4.012407774093766
264761.jpg,3.0820713641568043
45179.jpg,5.167150489441975
209574.jpg,4.544156650926486
147206.jpg,3.566509552060601
115171.jpg,8.780567087851395
129297.jpg,3.2462450980276616
55250.jpg,4.219445274492386
48145.jpg,3.461141809432831
284291.jpg,3.5738617892005338
39565.jpg,2.9651617553295457
84969.jpg,3.9427509662415967
286205.jpg,3.314449559763706
218543.jpg,3.366614590518694
11307.jpg,3.020412837786132
179320.jpg,4.884092705014964
47960.jpg,3.686749445557715
91604.jpg,3.1443204150867907
87861.jpg,3.6914341761323417
106942.jpg,3.268276170797342
92113.jpg,3.178682398326178
33888.jpg,2.785127600468514
80693.jpg,4.086028634572267
46778.jpg,4.320162419646082
50734.jpg,3.5457855914902527
99178.jpg,3.487872110520173
114009.jpg,3.3725101058647287
75632.jpg,3.3003652404814967
30503.jpg,2.9323572750401574
268123.jpg,4.620786825788644
144347.jpg,3.497715130898481
16936.jpg,3.440394942655885
88729.jpg,3.573294019848869
30703.jpg,7.117337995731808
102183.jpg,3.2884214749002467
294904.jpg,3.382996408406531
66226.jpg,3.2820793209370183
271889.jpg,3.461429377103065
32491.jpg,3.058284554524719
21554.jpg,4.23079208534549
127704.jpg,3.234942328280495
43182.jpg,9.99979278846791
106780.jpg,3.729735749093985
104058.jpg,6.6736727201437605
15429.jpg,4.1810520476598
270578.jpg,3.5257983212820467
178366.jpg,3.037087871151128
97396.jpg,4.533985301879117
193566.jpg,5.785725934415077
93467.jpg,9.774429827532602
54642.jpg,3.906743543239316
231797.jpg,4.475809967934772
94224.jpg,3.1036067331178563
95887.jpg,3.0699682377069704
75552.jpg,4.015423776751653
184624.jpg,9.99993884944476
80690.jpg,3.1973051624992026
153151.jpg,5.867852847189764
52301.jpg,5.394213964118107
95135.jpg,3.4593890113022394
138917.jpg,3.128876687043695
55721.jpg,3.4093445627164054
93122.jpg,3.86884989672515
83563.jpg,3.4500867096720342
80497.jpg,4.628786693237531
37947.jpg,3.24803884589106
71148.jpg,4.2532037764992365
95072.jpg,9.389219305699052
287198.jpg,3.994239830546177
293145.jpg,3.2493839807826608
142715.jpg,3.80197730269576
145112.jpg,5.39439953102462
214409.jpg,4.435672912740505
81928.jpg,3.5890032290416687
101688.jpg,3.072433144583492
13131.jpg,4.072261359912609
87899.jpg,3.271098682933389
13047.jpg,3.966136618198944
54312.jpg,5.027428216715728
205929.jpg,3.319368114423678
140779.jpg,4.187552745237917
89374.jpg,9.598057075102208
167146.jpg,3.52807034611058
188153.jpg,7.36320523106408
62789.jpg,3.11682367790307
103543.jpg,3.493197970531156
26706.jpg,3.1455091144527505
16440.jpg,3.424672398094654
36443.jpg,5.438116050405824
43980.jpg,3.44404367289571
32025.jpg,4.813245911612109
42771.jpg,3.5226936414402905
184546.jpg,3.3827806834542526
12329.jpg,3.225811749396229
37199.jpg,3.460895541957373
39992.jpg,3.6007529926809774
175204.jpg,3.17200175366816
139944.jpg,3.463124049377853
19146.jpg,5.650526831269117
253272.jpg,3.229337992317557
187215.jpg,3.474088633952457
87630.jpg,4.041600694632841
21109.jpg,3.7444289644654063
107012.jpg,9.469681969999415
54036.jpg,7.500211465697254
48802.jpg,3.199385066050764
13431.jpg,4.89097632831683
88008.jpg,3.181894466396912
185818.jpg,3.4771816206260544
187795.jpg,3.114160316080649
19038.jpg,3.908726990633931
133687.jpg,4.896698418107558
92682.jpg,3.088950921641314
58707.jpg,4.523680401007392
41210.jpg,2.975969552947152
216292.jpg,3.357460155195377
29611.jpg,3.433733083884745
30992.jpg,4.518886207992433
26450.jpg,4.790259636143331
180349.jpg,8.181430475961694
65171.jpg,4.590383270357451
101354.jpg,4.6201478565733
19260.jpg,5.062812750992251
196265.jpg,4.492572438506337
124149.jpg,3.4002756429376886
252436.jpg,5.105618089424699
181492.jpg,3.157900305473522
283630.jpg,7.13356642206663
199361.jpg,4.145945037091704
56758.jpg,3.6587085573115976
235928.jpg,4.370917131570484
102994.jpg,3.967723351584012
85708.jpg,3.360050093758932
298026.jpg,3.61919013123535
271958.jpg,4.42615403739988
276745.jpg,3.318088316312655
37803.jpg,3.3587486348841065
218538.jpg,3.5161379837992404
162191.jpg,3.346880427119925
30143.jpg,3.297290452962132
278185.jpg,3.329776231276463
189790.jpg,9.202525320582088
89757.jpg,3.985933930270437
29637.jpg,3.26378953785383
90537.jpg,4.186114191322159
175331.jpg,3.6959236922069048
28076.jpg,3.1424431150469743
117569.jpg,3.293773171952976
38056.jpg,4.912814307313502
18140.jpg,3.3150754753851075
100751.jpg,3.7303960666208393
77706.jpg,3.4781495020391966
